//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 2-17-2018
//--  Time: 11:15
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Coolant Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:000//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 1000 Ohms
//--    Temperature1: 16(C), 	Resistance 1: 2650 Ohms 
//--    Temperature2: 45(C), 	Resistance 2: 800 Ohms 
//--    Temperature3: 97(C), 	Resistance 3: 183 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
0	180.00	1800 	0.000
1	180.00	1800 	0.005
2	180.00	1800 	0.010
3	180.00	1800 	0.015
4	180.00	1800 	0.020
5	180.00	1800 	0.024
6	180.00	1800 	0.029
7	180.00	1800 	0.034
8	180.00	1800 	0.039
9	180.00	1800 	0.044
10	180.00	1800 	0.049
11	180.00	1800 	0.054
12	180.00	1800 	0.059
13	180.00	1800 	0.063
14	180.00	1800 	0.068
15	180.00	1800 	0.073
16	180.00	1800 	0.078
17	180.00	1800 	0.083
18	180.00	1800 	0.088
19	180.00	1800 	0.093
20	180.00	1800 	0.098
21	180.00	1800 	0.103
22	180.00	1800 	0.107
23	180.00	1800 	0.112
24	180.00	1800 	0.117
25	180.00	1800 	0.122
26	180.00	1800 	0.127
27	180.00	1800 	0.132
28	180.00	1800 	0.137
29	180.00	1800 	0.142
30	180.00	1800 	0.146
31	180.00	1800 	0.151
32	180.00	1800 	0.156
33	180.00	1800 	0.161
34	180.00	1800 	0.166
35	180.00	1800 	0.171
36	180.00	1800 	0.176
37	180.00	1800 	0.181
38	180.00	1800 	0.186
39	180.00	1800 	0.190
40	180.00	1800 	0.195
41	180.00	1800 	0.200
42	180.00	1800 	0.205
43	347.61	3476 	0.210
44	344.65	3446 	0.215
45	341.77	3418 	0.220
46	338.97	3390 	0.225
47	336.25	3363 	0.229
48	333.61	3336 	0.234
49	331.04	3310 	0.239
50	328.53	3285 	0.244
51	326.09	3261 	0.249
52	323.72	3237 	0.254
53	321.40	3214 	0.259
54	319.14	3191 	0.264
55	316.93	3169 	0.269
56	314.77	3148 	0.273
57	312.67	3127 	0.278
58	310.61	3106 	0.283
59	308.60	3086 	0.288
60	306.63	3066 	0.293
61	304.70	3047 	0.298
62	302.81	3028 	0.303
63	300.97	3010 	0.308
64	299.16	2992 	0.313
65	297.38	2974 	0.317
66	295.64	2956 	0.322
67	293.94	2939 	0.327
68	292.26	2923 	0.332
69	290.62	2906 	0.337
70	289.01	2890 	0.342
71	287.43	2874 	0.347
72	285.87	2859 	0.352
73	284.35	2843 	0.356
74	282.85	2828 	0.361
75	281.37	2814 	0.366
76	279.92	2799 	0.371
77	278.50	2785 	0.376
78	277.10	2771 	0.381
79	275.72	2757 	0.386
80	274.36	2744 	0.391
81	273.02	2730 	0.396
82	271.71	2717 	0.400
83	270.41	2704 	0.405
84	269.14	2691 	0.410
85	267.88	2679 	0.415
86	266.64	2666 	0.420
87	265.42	2654 	0.425
88	264.22	2642 	0.430
89	263.03	2630 	0.435
90	261.86	2619 	0.439
91	260.71	2607 	0.444
92	259.57	2596 	0.449
93	258.45	2585 	0.454
94	257.35	2573 	0.459
95	256.25	2563 	0.464
96	255.18	2552 	0.469
97	254.11	2541 	0.474
98	253.06	2531 	0.479
