Time (ms),* Engine Speed (RPM),* Vehicle Speed (km/h),* Throttle Position (%),* Engine Load (mg/stroke),* Intake Air Temperature (°C),* Coolant Temperature (°C),* Ignition Angle (°BTDC),* Fuel Injector Pulse Width (ms),* Idle Air Control Valve (%),* VANOS Angle (KW °),* Battery Voltage (VDC),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Upstream Lambda Probe Heater - Bank 1 (%),* Upstream Lambda Probe Heater - Bank 2 (%),* Downstream Lambda Probe Heater - Bank 1 (%),* Downstream Lambda Probe Heater - Bank 2 (%),Knock,MAF (KG/HR),IACV (PWM),Charcoal Canister Purge Valve,Idle Fuel Trims Bank1,Idle Fuel Trims Bank2,LTFT Bank1,LTFT Bank2,MAF (V)
398,43,0,0,0,57,-48,-23.60,5.14,0.00,52.8045,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,27.05,0.000
543,43,0,0,0,57,-48,-23.60,5.14,0.00,52.8045,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,23.52,0.000
708,43,0,0,0,58,-48,-23.60,5.14,0.00,52.8045,14.48,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,28.62,0.000
879,43,0,0,0,57,-48,-23.60,5.14,0.00,51.681,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,39.00,x,x,-49.39,31.75,0.000
1035,43,0,0,0,56,-48,-23.60,5.14,0.00,49.8085,14.17,-50.18,-50.18,x,x,x,x,0,11930,x,39.00,x,x,-49.39,31.75,0.000
1183,43,0,0,0,57,-48,-23.60,5.14,0.00,49.434,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,39.00,x,x,-49.39,32.54,0.000
1345,43,0,0,0,57,-48,-23.60,5.14,0.00,48.685,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,39.00,x,x,-49.39,37.24,0.000
1519,43,0,0,0,57,-48,-23.60,5.14,0.00,47.187,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,39.00,x,x,-49.39,38.81,0.000
1673,43,0,0,0,57,-48,-23.60,5.14,0.00,46.8125,14.38,-50.18,-50.18,x,x,x,x,0,11930,x,39.00,x,x,-49.39,34.10,0.000
1850,43,0,0,0,57,-48,-23.60,5.14,0.00,47.936,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,26.66,0.000
1972,43,0,0,0,57,-48,-23.60,5.14,0.00,49.434,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,27.44,0.000
2085,43,0,0,0,57,-48,-23.60,5.14,0.00,49.434,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,26.26,0.000
2225,43,0,0,0,57,-48,-23.60,5.14,0.00,50.932,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,25.87,0.000
2386,43,0,0,0,57,-48,-23.60,5.14,0.00,51.681,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,21.17,0.000
2558,43,0,0,0,57,-48,-23.60,5.14,0.00,52.8045,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,28.22,0.000
2710,43,0,0,0,57,-48,-23.60,5.14,0.00,52.43,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,22.74,0.000
2862,43,0,0,0,57,-48,-23.60,5.14,0.00,52.43,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,25.87,0.000
2972,43,0,0,0,57,-48,-23.60,5.14,0.00,52.43,14.27,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,23.52,0.000
3114,43,0,0,0,57,-48,-23.60,5.14,0.00,52.43,14.38,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,24.70,0.000
3281,43,0,0,0,56,-48,-23.60,5.14,0.00,52.43,14.17,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,27.44,0.000
3435,43,0,0,0,57,-48,-23.60,5.14,0.00,51.681,14.38,-50.18,-50.18,x,x,x,x,0,11930,x,40.00,x,x,-49.39,24.70,0.000
